geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
10180,"Abilene, TX",metro,,67328,2024
10380,"Aguadilla, PR",metro,,22398,2024
10420,"Akron, OH",metro,,72371,2024
10500,"Albany, GA",metro,,56906,2024
10540,"Albany, OR",metro,,76329,2024
10580,"Albany-Schenectady-Troy, NY",metro,,88074,2024
10740,"Albuquerque, NM",metro,,70783,2024
10780,"Alexandria, LA",metro,,56353,2024
10900,"Allentown-Bethlehem-Easton, PA-NJ",metro,,84587,2024
11020,"Altoona, PA",metro,,62382,2024
11100,"Amarillo, TX",metro,,69611,2024
11180,"Ames, IA",metro,,73127,2024
11200,"Amherst Town-Northampton, MA",metro,,87001,2024
11244,"Anaheim-Santa Ana-Irvine, CA",division,31080,116289,2024
11260,"Anchorage, AK",metro,,100505,2024
11460,"Ann Arbor, MI",metro,,89180,2024
11500,"Anniston-Oxford, AL",metro,,55029,2024
11540,"Appleton, WI",metro,,85825,2024
11640,"Arecibo, PR",metro,,25084,2024
11694,"Arlington-Alexandria-Reston, VA-WV",division,47900,140012,2024
11700,"Asheville, NC",metro,,71838,2024
12020,"Athens-Clarke County, GA",metro,,65608,2024
12060,"Atlanta-Sandy Springs-Roswell, GA",metro,,89724,2024
12100,"Atlantic City-Hammonton, NJ",metro,,82105,2024
12220,"Auburn-Opelika, AL",metro,,63649,2024
12260,"Augusta-Richmond County, GA-SC",metro,,69344,2024
12420,"Austin-Round Rock-San Marcos, TX",metro,,100431,2024
12540,"Bakersfield-Delano, CA",metro,,70210,2024
12580,"Baltimore-Columbia-Towson, MD",metro,,99470,2024
12620,"Bangor, ME",metro,,66356,2024
12700,"Barnstable Town, MA",metro,,95241,2024
12940,"Baton Rouge, LA",metro,,69599,2024
12980,"Battle Creek, MI",metro,,63177,2024
13020,"Bay City, MI",metro,,61763,2024
13140,"Beaumont-Port Arthur, TX",metro,,64659,2024
13220,"Beckley, WV",metro,,52620,2024
13380,"Bellingham, WA",metro,,81784,2024
13460,"Bend, OR",metro,,89788,2024
13740,"Billings, MT",metro,,77194,2024
13780,"Binghamton, NY",metro,,64590,2024
13820,"Birmingham, AL",metro,,71498,2024
13900,"Bismarck, ND",metro,,85156,2024
13980,"Blacksburg-Christiansburg-Radford, VA",metro,,65839,2024
14010,"Bloomington, IL",metro,,79905,2024
14020,"Bloomington, IN",metro,,65543,2024
14260,"Boise City, ID",metro,,85987,2024
14454,"Boston, MA",division,14460,111800,2024
14460,"Boston-Cambridge-Newton, MA-NH",metro,,115863,2024
14500,"Boulder, CO",metro,,103994,2024
14540,"Bowling Green, KY",metro,,63328,2024
14580,"Bozeman, MT",metro,,93528,2024
14740,"Bremerton-Silverdale-Port Orchard, WA",metro,,104158,2024
14860,"Bridgeport-Stamford-Danbury, CT",metro,,114565,2024
15180,"Brownsville-Harlingen, TX",metro,,52601,2024
15260,"Brunswick-St. Simons, GA",metro,,66623,2024
15380,"Buffalo-Cheektowaga, NY",metro,,72237,2024
15500,"Burlington, NC",metro,,65651,2024
