redfin_region_id,zillow_region_id,geo_id,region_name_redfin,region_name_zillow,geo_name,geography_type,parent_metro_code,latitude,longitude
10180,394299,10180,"Abilene, TX metro area","Abilene, TX","Abilene, TX",metro,,32.4520222,-99.7187428
10420,394304,10420,"Akron, OH metro area","Akron, OH","Akron, OH",metro,,41.1466395,-81.3501104
10500,394306,10500,"Albany, GA metro area","Albany, GA","Albany, GA",metro,,31.6446859,-84.1107184
10540,394307,10540,"Albany, OR metro area","Albany, OR","Albany, OR",metro,,44.4888982,-122.5372084
10580,394308,10580,"Albany, NY metro area","Albany, NY","Albany-Schenectady-Troy, NY",metro,,42.7879202,-73.9423479
10740,394312,10740,"Albuquerque, NM metro area","Albuquerque, NM","Albuquerque, NM",metro,,35.1234965,-106.4583918
10780,394314,10780,"Alexandria, LA metro area","Alexandria, LA","Alexandria, LA",metro,,31.3253478,-92.5468034
10900,394318,10900,"Allentown, PA metro area","Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ",metro,,40.7893392,-75.398158
11020,394321,11020,"Altoona, PA metro area","Altoona, PA","Altoona, PA",metro,,40.4986828,-78.309597
11100,394323,11100,"Amarillo, TX metro area","Amarillo, TX","Amarillo, TX",metro,,35.2479988,-101.9086699
11180,394325,11180,"Ames, IA metro area","Ames, IA","Ames, IA",metro,,42.0361281,-93.6980079
11260,394327,11260,"Anchorage, AK metro area","Anchorage, AK","Anchorage, AK",metro,,62.2127844,-149.6782218
11460,394332,11460,"Ann Arbor, MI metro area","Ann Arbor, MI","Ann Arbor, MI",metro,,42.2522168,-83.8434233
11500,394333,11500,"Anniston, AL metro area","Anniston, AL","Anniston-Oxford, AL",metro,,33.7705162,-85.8279089
11540,394334,11540,"Appleton, WI metro area","Appleton, WI","Appleton, WI",metro,,44.2906032,-88.3723255
11700,394338,11700,"Asheville, NC metro area","Asheville, NC","Asheville, NC",metro,,35.6163405,-82.5706835
12020,394346,12020,"Athens, GA metro area","Athens, GA","Athens-Clarke County, GA",metro,,33.943984,-83.2138965
12060,394347,12060,"Atlanta, GA metro area","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",metro,,33.7324018,-84.3928478
